,Stock,accuracy
0,360ONE,0.625
8,ABFRL,0.5714285714285714
9,ABREL,0.576271186440678
13,ACI,0.5714285714285714
16,ADANIGREEN,0.58
24,ALKYLAMINE,0.5606060606060606
25,ALOKINDS,0.5789473684210527
28,ANANDRATHI,0.5909090909090909
30,ANGELONE,0.5625
32,APLAPOLLO,0.5673076923076923
33,APLLTD,0.6226415094339622
40,ASIANPAINT,0.554945054945055
41,ASTERDM,0.5660377358490566
43,ASTRAZEN,0.5580110497237569
44,ATGL,0.6170212765957447
45,ATUL,0.5659340659340659
49,AWL,0.6
50,AXISBANK,0.5613207547169812
52,BAJAJFINSV,0.5555555555555556
56,BALKRISIND,0.5986842105263158
58,BANDHANBNK,0.6346153846153846
61,BASF,0.5934065934065934
62,BATAINDIA,0.554945054945055
64,BBTC,0.5617977528089888
65,BDL,0.5576923076923077
71,BHARTIHEXA,0.6666666666666666
73,BIKAJI,0.6428571428571429
75,BIRLACORPN,0.6153846153846154
76,BLS,0.582089552238806
78,BLUESTARCO,0.5879120879120879
81,BRIGADE,0.5808823529411765
83,BSE,0.5806451612903226
84,BSOFT,0.5934065934065934
93,CDSL,0.5689655172413793
95,CELLO,0.6666666666666666
96,CENTRALBK,0.5827338129496403
101,CGPOWER,0.5573770491803278
102,CHALET,0.6
104,CHEMPLASTS,0.5833333333333334
105,CHENNPETRO,0.5659340659340659
110,CLEAN,0.56
116,CONCORDBIO,0.75
118,CRAFTSMAN,0.6785714285714286
119,CREDITACC,0.5714285714285714
121,CROMPTON,0.6764705882352942
125,DABUR,0.5604395604395604
126,DALBHARAT,0.6304347826086957
128,DBREALTY,0.5714285714285714
132,DEVYANI,0.5833333333333334
134,DIXON,0.5614035087719298
139,EASEMYTRIP,0.5714285714285714
145,ELGIEQUIP,0.5714285714285714
147,ENDURANCE,0.59375
149,EQUITASBNK,0.5806451612903226
150,ERIS,0.5689655172413793
158,FIVESTAR,0.7142857142857143
161,FSL,0.5873015873015873
162,GAEL,0.6010928961748634
167,GLAND,0.5806451612903226
170,GMDCLTD,0.5519125683060109
172,GNFC,0.5604395604395604
176,GODREJCP,0.5628415300546448
177,GODREJIND,0.585635359116022
180,GPPL,0.5526315789473685
185,GRINFRA,0.56
196,HDFCBANK,0.569620253164557
200,HFCL,0.5698324022346368
206,HOMEFIRST,0.5517241379310345
207,HONASA,0.6666666666666666
208,HONAUT,0.5737704918032787
211,ICICIBANK,0.5879120879120879
212,ICICIGI,0.5535714285714286
215,IDEA,0.5734265734265734
217,IEX,0.5714285714285714
219,IGL,0.6035502958579881
222,INDHOTEL,0.5573770491803278
223,INDIACEM,0.5702127659574469
232,INTELLECT,0.620253164556962
236,IRB,0.5746268656716418
237,IRCON,0.6458333333333334
242,ITC,0.5738396624472574
245,JBCHEPHARM,0.5659340659340659
252,JKTYRE,0.5818181818181818
254,JPPOWER,0.5849056603773585
256,JSWENERGY,0.5916666666666667
257,JSWINFRA,0.7142857142857143
